lang,orig_text,orig_translation
spanish,"Frank's journey produced the photographic equivalent of the great American novel, laying bare the anxieties that the chrome and the advertising jingles obscured.","El viaje de Frank produjo el equivalente fotográfico de la gran novela americana, mostrando las ansiedades que el cromo y los avisos publicitarios oscurecían."
spanish,"Though he'd been trained in a Swiss tradition that aspired to photographic perfectionism, Frank's free-wheeling odyssey echoed the spontaneity of abstract expressionist art and beat poetry.","Aunque fue entrenado en la tradición suiza que aspiraba a la perfección fotográfica, la odisea despreocupada de Frank repetía la espontaneidad del expresionismo abstracto y de la poesía beat."
spanish,"Again it's the kind of zeitgeist of abstract expressionism, that freedom, that release from the conventions of picture making that were earlier is there with Frank.","Una vez más, este es el espíritu de la época del expresionismo abstracto. Esa libertad que liberaba de las convenciones al crear imágenes, estaba ahí con Frank."
spanish,"Kerouac described it, I think, what he did - he called Frank's qualities agility, mystery, sadness, genius and secret strangeness.","Kerouac lo describió, pienso, él describió las cualidades de Frank como agilidad, misterio, tristeza, genio y extrañeza escondida."
spanish,"He brought his final selection to the french publisher Robert Delpire, and they designed a photo book that would become one of the foundation stones of modern photography.","Llevó su selección final al editor francés Robert Delpire, y diseñaron un fotolibro que se convertiría en una de las piedras fundamentales de la fotografía."
spanish,"As there were no double page spreads, just one picture after the other, we quickly agreed how the photos should be displayed, and that's how we did it.","Como no hubo doble página, sólo una imagen después de la otra, rápidamente acordamos cómo deberían mostrarse las fotos, y así fue que hicimos."
russian,"And, like, you know, when you're sitting around with your friends playing video games and it's fun, but if you munch a nice, big PBJ first, it's even awesomer.","Знаете, когда сидишь с друзьями, играешь в видеоигры и тебе весело. А если перед этим слопать такой сладкий бутер, тогда вообще классно."
russian,"So, anyway, my cousin's best friend's older brother's girlfriend's sister is gonna be bringing some by this afternoon, and I know it sounds a little stupid, but I'm kind of nervous to pick them up myself.","Так вот сестра подружки старшего брата лучшей подруги моей двоюродной сестры принесёт их после обеда. Я знаю, как глупо это звучит, но я боюсь забирать их сама."
russian,"Nick's always told us none of us can get involved with the peanut racket, and there's no way I'm going to betray Nick for a kiss on the cheek for a lousy seven seconds.","Ник всегда твердит, чтобы никто из нас не связывался с арахисовым бизнесом. И я ни за что не предам Ника за поцелуй в щёчку на вшивые семь секунд."
russian,"It says so right here, but I took some home and set the table with them, and my mom freaked out and sent me to my room, and her boyfriend even kept laughing!","Тут так написано. Но когда я принёс их домой и накрыл на стол, мама рассердилась и отослала меня в комнату. А её приятель даже смеялся."
russian,"Yeah, but now that we're running it, we can do it right, with epi-injector sites and fair prices, because the way Frankie and Mickey were doing it, someone was bound to get hurt, and not just the allergic kids.","Но теперь этим занимаемся мы, и всё пойдёт как надо: с пунктом выдачи антиаллергенных препаратов и честными ценами. У Френки с Микки всё было поставлено так, что кто-то должен был пострадать."
russian,"Maybe to adults it looks like we're just running around, playing whatever we want to, wherever we want to, running all around the yard, willy-nilly without barriers or boundaries.","Взрослым наверно кажется, что мы просто наворачиваем круги, играем во всё подряд, бегаем где хотим по всему двору сломя голову без барьеров и границ."
russian,"Frankie, on my father's life, Until you realize our right to share the soccer pitch, we will continue to sting you, and sting you like a swarm of killer bees. Okay, okay, come on, come on.","Френки, своим отцом клянусь тебе пока ты не поделишься правами на футбольное поле, мы будем продолжать жалить тебя, жалить как рой пчёл-убийц."
russian,"We call him ""the bladder"", because his bladder is the size of a camel's hump, and he has been eating nothing but asparagus for the past four days and drinking gallons w water.",Мы зовём его Пузырь. Потому что его мочевой пузырь размером с горб верблюда. И кроме лука он ничего не ел последние четыре дня.
russian,"You see, we were concerned, because a few of your guys got roughed up in that last game, and so, for your own protection, we talked to the teachers, and they said that from now on, in order to avoid any more injuries, everyone has to wear protective equipment.","Видишь ли, мы были обеспокоены, что некоторые твои люди покалечились в прошлой игре, и теперь, для вашей же безопасности, мы обсудили это с учителями, и они решили, что отныне во избежание возможных травм, все обязаны одевать защитную экипировку."
russian,"At the end of season one, she found out that Scott's a werewolf, but they've already got such good history with each other, that she's very accepting of it. ♪ If it is hard to bear ♪","В конце первого сезона, она узнает, что Скотт оборотень, но между ними уже была хорошая история, и она очень хорошо приняла это."
russian,"They want to try to keep the relationship going as much as they can, but they know that it's going to be tricky because Allison's situation with her family. The Argents hunt werewolves.","Они хотят попытаться сохранить отношения на сколько смогут, но они знают, что это будет сложно из-за обстановки в семье Элисон."
russian,"Scott can respect their situation, and knows that, you know, the offer at hand of them becoming a werewolf sounds like a really cool thing, but knows that it just is not. It'll mess up their life.","Скотт понимает их ситуацию, и знает, что предложение стать оборотнем звучит очень круто, но он знает, что это не так."
russian,"So the idea of eliminating a threat quickly, even if it means, you know, someone getting hurt, I think his mentality is that that's better than letting something spiral out of control to where you can't contain it anymore. They're not here to scare us, okay?","Поэтому для него главное устранить угрозу быстро, даже если это означает, что кто-то пострадает, и лучше уж это, чем позволить чему-то выйти из-под контроля там, где вы не сможете больше его сдерживать."
russian,"When Allison's father tells her that she's going to be the leader of her family, I think she's probably slightly intimidated by that, but also, I think, a little challenged.","Когда отец Элисон сказал ей, что она станет лидером их семьи, думаю, это её немного напугало, но также, немного изменило."
russian,"They've had some, you know, misunderstandings and trust issues, but I think that is what, you know, makes Scott and Allison so great to watch, because they overcome all these odds.","Не мешайся! У них есть проблемы с доверием и недопонимание, но я думаю именно поэтому так приятно наблюдать за Скоттом и Элисон потому, что они преодолевают все трудности."
russian,"That scene was added, and I think that scene is so important to understand Allison's mind-set moving forward, because you see her as this, you know, this sort of sweet, naive girl, and then something massive happens. And then it's, you know...","Эту сцену добавили, и я считаю, что эта сцена очень важна для понимания дальнейшего образа мышления Элисон, вы видите ее там, такую милую наивную девушку, а затем случается что-то грандиозное."
russian,"If this were my mother, if these words were written for me, any pity I'd have for Derek and his pack would be burned out by a white-hot desire for retribution.","если бы она была моей матерью, если бы эти слова были написаны для меня, жалость, которую я испытываю к Дереку и его стае, сгорит раскаленным желанием возмездия."
russian,"There was always this perplexed look on my face because she had no idea what was going on throughout all of these different scenarios of seeing ghosts and are they ghosts or are they, you know, just hallucinations of her own mind?","Всегда был этот озадаченный взгляд на моем лице, потому, что она понятия не имела, что происходит во всех этих видениях, где она видит призраков, и призраки ли они, или они просто ее галлюцинации."
russian,"She starts developing this little mini-relationship with this guy and having a few encounters with him, only to find out that that is also a figment of her imagination.","Она стала развивать эти мини-отношения с тем парнем и несколько раз встретилась с ним, а потом узнала, что он тоже плод её воображения."
russian,"She knew at that point, after she'd had several encounters with this guy, it turned out to be young Peter hale that was just a figment of her imagination.","В тот момента, после нескольких встреч с тем парнем, она узнала, что он оказался молодым Питером Хейлом, и был просто плодом её воображения."
russian,"We know that Lydia is a conduit for Peter's intentions, but we don't know if it's Lydia being the medium herself or if it's Peter imposing the powers through her.","Мы знаем, что Лидия - посредник намерений Питера, но мы не знаем, сама Лидия медиум, или это Питер действовал через неё."
russian,"In season two, Derek definitely has more responsibility, having to be in charge and responsible for these three lives that he's kind of, I guess, in a way created.","Во втором сезоне на Дереке больше ответственности, он отвечает за эти три жизни, которые он, в каком-то смысле, создал."
russian,"This villain is now cured, so to speak, and he's now gone from the Kanima to a werewolf, and it was because of Lydia's love that pulled him out of that.","Злодей теперь исцелен, теперь он переродился из Канимы в оборотня, и это благодаря любви Лидии, она помогла ему."
russian,"I'm probably, without knowing it, less lonely than I have been in a long time because I'm interacting with people more often than I have in many years.","И, пожалуй, не осознавая этого, менее одиноким чем был долгое время до этого потому что здесь я общаюсь гораздо чаще с людьми чем за многие годы до этого."
russian,"I don't know how she feels about me, and so I'm just kind of-- I'm taking it slow, but at the same time, it's really hard 'cause I really want to, you know, see where this is gonna go.","Я не знаю что она чувствует ко мне, так что я просто я не тороплюсь, но в тоже время, это очень трудно, потому что я правда хочу, знаешь, посмотреть куда это может привести."
russian,"Well, you know, they're pretty, but it's kind of odd, the whole idea of someone giving someone a flower 'cause it's like, ""Oh, you know, I like you, so let me give you something that's dying.""","Ну, знаешь, да они красивые, но это немного странно, вся идея дарения цветов потому что это как ""О, знаешь, ты мне нравишься, так что я хочу подарить тебе что-то что умирает"""
russian,"Ran outside, and the sky this just this odd color that I've never seen in my life, and I'm thinking it can't be the show doing this because that's way out of their powers and their control.","Выбежав на улицу, я увидел небо такого странного цвета я никогда ничего подобного в жизни не видел, и я задумался не может быть чтобы в рамках шоу могли сотворить ткое потому что это было за рамками их сил и контроля"
russian,"Whether, you know, whether you're in the woods or in the cabin, you always feel like something is watching you, and the past two nights, I haven't slept very well, you know.","Не важно,в лесу ли ты в хижине, ты постоянно ощущаешь что за тобой следят, и последние две ночи я спал не очень хорошо"
russian,"I didn't ever expect that that would be a possibility on this show, and every day that I'm here, I feel like I'm an idiot for staying, that I am gonna end up like Tommy.","Я даже не думала о такой вероятности здесь на шоу, и каждый день что я продолжаю быть здесь, я ощущаю себя идиоткой потому что остаюсь, что в конечно итоге могу закончить как Томми"
russian,"I was just gonna try and make things better, and, like, apologize, and just wanted to let her know that I didn't, you know, I didn't want to screw anything up or make anything awkward for her.","Я просто пыталась сделать как лучше, и, типа, извиниться, и я просто хотела, чтобы она знала, что я, ну знаете, я не хотела облажаться, или заставить чувствовать ее себя неловко."
russian,"I guess I was in a weird mood, and I just want to apologize because I don't want to make you feel uncomfortable or anything, because I'm really glad you're--","Полагаю, я была в странном настроении, и я просто хотела извиниться, потому что я не хотела, чтобы ты чувствовала себя неудобно или еще как, потому что я действительно рада, что ты..."
russian,"=you can let her off this one time too.= =If not, you'll become extremely lonely.= =At the very least, I still have people who believe in me, so I'm able to start all over.=",=что ты простишь её.= то ты останешься совершенно одинок.= которые верят в меня и я могу начать заново.=
czech,"The West taught the rest its way of doing business... its scientific method... its law and its politics, its way of dressing... of speaking and of praying.","Západ učil zbytek svůj způsob podnikání ... své vědecké metody ... své zákony a svou politiku, svůj způsob oblékání ... mluvení a modlení se."
czech,"And it's a story we ignore at our peril, because today, after half a millennium of tilting westwards, the world seems inexorably to be tilting to the East.","A to je příběh, který ignorujeme na vlastní nebezpečí, protože dnes, po půl tisíciletí přiklánění k západu, svět zdá se, se neúprosně přiklání k východu."
